nonempty_lines,function_count,if_count,comparison_count,return_count,constant_probability_return_count,constant_probability_vectors,score_vector_expressions,inferred_score_orders,class_order_static_status,explicit_channel_indices,feature_families,top_function_calls,model,model_tag,mode,seed,run_root
46,3,1,4,3,0,[],"[[""score_hc"", ""score_ftd"", ""score_ad""]]","HC,FTD,AD",consistent_with_contract,,spectral_bandpower;spectral_entropy;connectivity;temporal_variability,np.mean:8;np.sum:5;bandpower:5;np.clip:2;np.array:2;np.logical_and:1;np.where:1;entropy:1;welch:1;np.corrcoef:1;np.triu_indices_from:1;spectral_entropy:1,GPT-4.1-mini,gpt41_mini_fastfill_v1,non-reasoning,41,results/selected_75_runs/gpt41_mini_fastfill_v1/ADFTD/seed41
67,3,1,4,3,0,[],"[[""score_hc"", ""score_ftd"", ""score_ad""]]","HC,FTD,AD",consistent_with_contract,,spectral_bandpower;spectral_entropy;connectivity;temporal_variability,np.mean:8;np.sum:5;bandpower:5;np.clip:2;np.log2:2;np.array:2;np.where:1;welch:1;np.corrcoef:1;np.triu_indices_from:1;spectral_entropy:1;np.std:1,GPT-4.1-mini,gpt41_mini_fastfill_v1,non-reasoning,42,results/selected_75_runs/gpt41_mini_fastfill_v1/ADFTD/seed42
42,3,1,3,3,0,[],"[[""healthy_score"", ""ftd_score"", ""ad_score""]]","HC,FTD,AD",consistent_with_contract,,spectral_bandpower;spectral_entropy;connectivity;temporal_variability,np.mean:9;bandpower:5;np.sum:3;np.array:2;np.logical_and:1;entropy:1;welch:1;np.corrcoef:1;np.triu_indices_from:1;np.clip:1;probs.astype:1;spectral_entropy:1,GPT-4.1-mini,gpt41_mini_fastfill_v1,non-reasoning,43,results/selected_75_runs/gpt41_mini_fastfill_v1/ADFTD/seed43
47,3,1,5,3,0,[],"[[""score_healthy"", ""score_ftd"", ""score_ad""]]","HC,FTD,AD",consistent_with_contract,,spectral_bandpower;spectral_entropy;connectivity;temporal_variability,np.mean:8;np.sum:6;bandpower:5;np.where:2;np.array:2;np.log:2;np.logical_and:1;welch:1;np.corrcoef:1;np.triu_indices_from:1;spectral_entropy:1;np.std:1,GPT-4.1-mini,gpt41_mini_fastfill_v1,non-reasoning,44,results/selected_75_runs/gpt41_mini_fastfill_v1/ADFTD/seed44
67,3,1,3,3,0,[],"[[""score_0"", ""score_1"", ""score_2""]]",,not_inferable,,spectral_bandpower;spectral_entropy;connectivity;temporal_variability,np.mean:8;np.sum:5;bandpower:5;np.maximum:2;np.log:2;np.array:2;np.clip:1;welch:1;spectral_entropy:1;np.corrcoef:1;np.triu_indices_from:1;np.std:1,GPT-4.1-mini,gpt41_mini_fastfill_v1,non-reasoning,45,results/selected_75_runs/gpt41_mini_fastfill_v1/ADFTD/seed45
32,3,2,6,5,3,"[[0.8, 0.1, 0.1], [0.1, 0.7, 0.2], [0.1, 0.2, 0.7]]",[],,not_inferable,,spectral_bandpower;spectral_entropy;temporal_variability,np.mean:5;bandpower:4;np.array:3;np.asarray:1;welch:1;np.logical_and:1;np.sum:1;entropy:1;compute_entropy:1;np.abs:1,GPT-4o,gpt4o_nonthinking_retrymax5_v1,non-reasoning,41,results/selected_75_runs/gpt4o_nonthinking_retrymax5_v1/ADFTD/seed41
40,1,3,11,3,3,"[[0.7, 0.2, 0.1], [0.1, 0.7, 0.2], [0.1, 0.2, 0.7]]",[],,not_inferable,,spectral_bandpower;spectral_entropy,np.sum:6;np.array:4;range:2;np.mean:2;welch:2;np.var:1;np.concatenate:1;ValueError:1;band_power_ratios.append:1;spectral_entropies.append:1;entropy:1,GPT-4o,gpt4o_nonthinking_retrymax5_v1,non-reasoning,42,results/selected_75_runs/gpt4o_nonthinking_retrymax5_v1/ADFTD/seed42
31,2,2,6,4,3,"[[0.8, 0.1, 0.1], [0.1, 0.7, 0.2], [0.1, 0.2, 0.7]]",[],,not_inferable,,spectral_bandpower;spectral_entropy,np.mean:5;bandpower:4;np.array:3;np.asarray:1;welch:1;np.logical_and:1;np.sum:1;entropy:1;np.abs:1;range:1,GPT-4o,gpt4o_nonthinking_retrymax5_v1,non-reasoning,43,results/selected_75_runs/gpt4o_nonthinking_retrymax5_v1/ADFTD/seed43
30,3,2,14,5,3,"[[0.7, 0.2, 0.1], [0.1, 0.7, 0.2], [0.1, 0.2, 0.7]]",[],,not_inferable,,spectral_bandpower;spectral_entropy,np.mean:6;np.sum:6;np.array:3;welch:2;compute_band_powers:1;compute_spectral_entropy:1;entropy:1,GPT-4o,gpt4o_nonthinking_retrymax5_v1,non-reasoning,44,results/selected_75_runs/gpt4o_nonthinking_retrymax5_v1/ADFTD/seed44
40,1,4,14,1,0,[],[],,not_inferable,,spectral_bandpower;spectral_entropy;temporal_variability,np.sum:7;np.mean:6;np.zeros:5;np.array:3;range:2;ValueError:2;welch:1;all:1;np.finfo:1;np.std:1;entropy:1;np.isfinite:1,GPT-4o,gpt4o_nonthinking_retrymax5_v1,non-reasoning,45,results/selected_75_runs/gpt4o_nonthinking_retrymax5_v1/ADFTD/seed45
26,2,2,12,3,1,"[[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]]","[[""rel_alpha"", ""rel_beta"", ""rel_slow""]]",,not_inferable,,spectral_bandpower,band_power:5;np.where:5;signal.welch:1;np.array:1;np.exp:1;tolist:1;np.sum:1;np.max:1;len:1;exp_scores.sum:1,Qwen3-235B-A22B Thinking 2507,qwen3_235b_a22b_thinking_2507_v1,reasoning,41,results/selected_75_runs/qwen3_235b_a22b_thinking_2507_v1/ADFTD/seed41
20,1,1,9,2,1,"[[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]]","[[""score_0"", ""score_1"", ""score_2""]]",,not_inferable,,spectral_bandpower,np.sum:5;np.mean:4;signal.welch:1;np.array:1;tolist:1,Qwen3-235B-A22B Thinking 2507,qwen3_235b_a22b_thinking_2507_v1,reasoning,42,results/selected_75_runs/qwen3_235b_a22b_thinking_2507_v1/ADFTD/seed42
18,1,3,6,1,0,[],"[[""alpha_power"", ""delta_power"", ""theta_power""]]",,not_inferable,,spectral_bandpower,np.where:3;len:3;np.mean:3;np.sum:3;welch:1;np.array:1;np.exp:1;tolist:1;np.max:1;exp_scores.sum:1,Qwen3-235B-A22B Thinking 2507,qwen3_235b_a22b_thinking_2507_v1,reasoning,43,results/selected_75_runs/qwen3_235b_a22b_thinking_2507_v1/ADFTD/seed43
18,1,0,6,1,0,[],"[[""avg_alpha"", ""avg_delta"", ""avg_theta""]]",,not_inferable,,spectral_bandpower,np.sum:4;np.mean:3;signal.welch:1;np.array:1;np.exp:1;probs.tolist:1;np.max:1,Qwen3-235B-A22B Thinking 2507,qwen3_235b_a22b_thinking_2507_v1,reasoning,44,results/selected_75_runs/qwen3_235b_a22b_thinking_2507_v1/ADFTD/seed44
30,1,0,8,1,0,[],"[[""score0"", ""score1"", ""score2""]]",,not_inferable,,spectral_bandpower,np.sum:5;range:1;np.array:1;np.exp:1;probs.tolist:1;signal.periodogram:1;np.max:1,Qwen3-235B-A22B Thinking 2507,qwen3_235b_a22b_thinking_2507_v1,reasoning,45,results/selected_75_runs/qwen3_235b_a22b_thinking_2507_v1/ADFTD/seed45
56,1,1,9,1,0,[],[],,not_inferable,,spectral_bandpower;spectral_entropy,np.sum:8;np.log1p:2;np.array:2;signal.welch:1;np.mean:1;np.exp:1;probs.tolist:1;np.ones_like:1;len:1;np.max:1;np.log:1,Gemini 3 Flash Thinking,gemini3_flash_preview_thinking_explicit_v1,reasoning,41,results/selected_75_runs/gemini3_flash_preview_thinking_explicit_v1/ADFTD/seed41
44,1,0,8,1,0,[],"[[""s0"", ""s1"", ""s2""]]",,not_inferable,,spectral_bandpower;temporal_variability;spatial_heterogeneity,np.mean:6;signal.welch:1;np.array:1;np.exp:1;probs.tolist:1;np.sum:1;np.max:1,Gemini 3 Flash Thinking,gemini3_flash_preview_thinking_explicit_v1,reasoning,42,results/selected_75_runs/gemini3_flash_preview_thinking_explicit_v1/ADFTD/seed42
54,1,0,8,1,0,[],[],,not_inferable,,spectral_bandpower;spectral_entropy;spatial_heterogeneity,np.sum:8;np.mean:7;np.log:2;np.asarray:1;scipy.signal.welch:1;np.array:1;np.exp:1;probs.tolist:1;np.max:1,Gemini 3 Flash Thinking,gemini3_flash_preview_thinking_explicit_v1,reasoning,43,results/selected_75_runs/gemini3_flash_preview_thinking_explicit_v1/ADFTD/seed43
55,1,0,8,1,0,[],"[[""score_hc"", ""score_ftd"", ""score_ad""]]","HC,FTD,AD",consistent_with_contract,,spectral_bandpower;spectral_entropy,np.sum:7;np.log:2;np.asarray:1;scipy.signal.welch:1;np.mean:1;np.array:1;np.max:1;np.exp:1;len:1,Gemini 3 Flash Thinking,gemini3_flash_preview_thinking_explicit_v1,reasoning,44,results/selected_75_runs/gemini3_flash_preview_thinking_explicit_v1/ADFTD/seed44
47,1,0,10,1,0,[],"[[""score_hc"", ""score_ftd"", ""score_ad""]]","HC,FTD,AD",consistent_with_contract,,spectral_bandpower;spectral_entropy;temporal_variability,np.sum:7;np.log:2;signal.welch:1;np.mean:1;np.array:1;np.max:1;np.exp:1;len:1,Gemini 3 Flash Thinking,gemini3_flash_preview_thinking_explicit_v1,reasoning,45,results/selected_75_runs/gemini3_flash_preview_thinking_explicit_v1/ADFTD/seed45
86,2,0,4,2,0,[],"[[""healthy"", ""ftd"", ""ad""]]","HC,FTD,AD",consistent_with_contract,,spectral_bandpower;spectral_entropy;connectivity;temporal_variability;spatial_heterogeneity,np.mean:8;band_power:4;np.sum:3;np.std:2;np.log:2;max:2;signal.welch:1;np.corrcoef:1;np.array:1;np.max:1;np.exp:1;np.eye:1,GLM-5,glm5_reasoning_v1,reasoning,41,results/selected_75_runs/glm5_reasoning_v1/ADFTD/seed41
179,7,30,31,7,0,[],"[[""1.0"", ""1.0"", ""1.0""]]",,not_inferable,,spectral_bandpower;spectral_entropy;connectivity;temporal_variability;complexity_nonlinear,np.mean:11;np.sum:7;np.var:3;np.diff:3;np.abs:3;np.sqrt:2;np.log:2;ValueError:2;signal.welch:1;bands.items:1;np.cumsum:1;range:1,GLM-5,glm5_reasoning_v1,reasoning,42,results/selected_75_runs/glm5_reasoning_v1/ADFTD/seed42
74,4,1,2,4,0,[],[],,not_inferable,,spectral_bandpower;spectral_entropy;connectivity;temporal_variability;complexity_nonlinear,sig:10;np.mean:8;gauss:5;band_power:4;np.var:3;np.diff:2;math.exp:2;np.sum:2;np.sqrt:2;min:2;np.asarray:1;np.clip:1,GLM-5,glm5_reasoning_v1,reasoning,43,results/selected_75_runs/glm5_reasoning_v1/ADFTD/seed43
108,1,2,4,1,0,[],"[[""healthy_score"", ""ftd_score"", ""ad_score""]]","HC,FTD,AD",consistent_with_contract,,spectral_bandpower;spectral_entropy;connectivity;temporal_variability;complexity_nonlinear,np.mean:16;np.std:4;math.exp:4;np.sum:3;np.any:2;np.diff:2;np.abs:2;signal.welch:1;bands.items:1;psd_norm.flatten:1;scipy_entropy:1;np.corrcoef:1,GLM-5,glm5_reasoning_v1,reasoning,44,results/selected_75_runs/glm5_reasoning_v1/ADFTD/seed44
147,4,32,37,9,0,[],[],,not_inferable,,spectral_bandpower;spectral_entropy;connectivity;complexity_nonlinear,float:8;np.mean:8;band_power:5;np.sum:4;np.var:3;np.diff:2;math.sqrt:2;range:2;np.asarray:1;min:1;signal.welch:1;np.clip:1,GLM-5,glm5_reasoning_v1,reasoning,45,results/selected_75_runs/glm5_reasoning_v1/ADFTD/seed45
